Corrugation Amplitude,Wavelength,Reynolds Number,Nusselt Number
0.15,1.5,60,6.1184
0.15,1.5,70,6.3756
0.15,1.5,80,6.6237
0.15,1.5,90,6.8726
0.15,1.5,100,7.1233
0.145,1,80,6.1435
0.145,1,90,6.4318
0.145,1,100,6.7103
0.145,1.5,60,6.17
0.145,1.5,70,6.4264
0.115,1,80,6.376
0.115,1,90,6.67595
0.115,1,100,6.9309
0.115,1.5,60,6.4959
0.115,1.5,70,6.7871
0.11,2,100,8.2231
0.11,2,110,8.4883
0.11,2,120,8.7379
0.11,2,130,8.9735
0.11,2,140,9.198
0.115,6,120,9.0527
0.115,6,130,9.3152
0.115,6,140,9.5673
0.115,6,150,9.8096
0.12,1,60,5.718
0.105,6,130,9.3193
0.105,6,140,9.5703
0.105,6,150,9.8131
0.11,1,60,5.8037
0.11,1,70,6.1161
0.1,6,130,9.3193
0.1,6,140,9.5712
0.1,6,150,9.8137
0.105,1,60,5.8521
0.105,1,70,6.1583
0.105,1,80,6.4508
0.12,1,90,6.6178
0.12,1,100,6.888
0.12,1.5,60,6.4432
0.12,1.5,70,6.7262
0.12,1.5,80,6.9719
0.12,1.5,90,7.1948
0.125,2,60,6.8704
0.125,2,70,7.2289
0.125,2,80,7.553
0.12,6,140,9.5686
0.12,6,150,9.8115
0.125,1,60,5.6777
0.125,1,70,5.9974
0.125,1,80,6.2977